56,me degno a ciò nè io nè altri 'l crede. ,"Per che, se del venire io m'abbandono,",temo che la venuta non sia folle.,11,11,11
57,"Se' savio; intendi me' ch'i' non ragiono"". ",E qual è quei che disvuol ciò che volle,"e per novi pensier cangia proposta,",11,11,11
58,"sì che dal cominciar tutto si tolle, ","tal mi fec'io 'n quella oscura costa,","perchè, pensando, consumai la 'mpresa",11,11,11
59,che fu nel cominciar cotanto tosta. ,"""S'i' ho ben la parola tua intesa"",","rispuose del magnanimo quell'ombra,",11,11,11
60,"""l'anima tua è da viltade offesa; ",la qual molte fiate l'omo ingombra,"sì che d'onrata impresa lo rivolve,",11,11,11
61,come falso veder bestia quand'ombra. ,"Da questa tema acciò che tu ti solve,",dirotti perch'io venni e quel ch'io 'ntesi,11,11,11
62,nel primo punto che di te mi dolve. ,"Io era tra color che son sospesi,","e donna mi chiamò beata e bella,",11,11,11
63,tal che di comandare io la richiesi. ,Lucevan li occhi suoi più che la stella;,"e cominciommi a dir soave e piana,",11,11,11
64,"con angelica voce, in sua favella: ","""O anima cortese mantoana,","di cui la fama ancor nel mondo dura,",11,11,11
65,"e durerà quanto 'l mondo lontana, ","l'amico mio, e non de la ventura,",ne la diserta piaggia è impedito,11,11,11
66,"sì nel cammin, che vòlt'è per paura; ","e temo che non sia già sì smarrito,","ch'io mi sia tardi al soccorso levata,",11,11,11
67,per quel ch'i' ho di lui nel cielo udito. ,"Or movi, e con la tua parola ornata","e con ciò c' ha mestieri al suo campare,",11,11,11
68,l'aiuta sì ch'i' ne sia consolata. ,I' son Beatrice che ti faccio andare;,vegno del loco ove tornar disio;,11,11,11
69,"amor mi mosse, che mi fa parlare. ","Quando sarò dinanzi al segnor mio,","di te mi loderò sovente a lui"".",11,11,11
70,"Tacette allora, e poi comincia' io: ","""O donna di virtù sola per cui",l'umana spezie eccede ogne contento,11,11,11
71,"di quel ciel c' ha minor li cerchi sui, ","tanto m'aggrada il tuo comandamento,","che l'ubidir, se già fosse, m'è tardi;",11,11,11
72,più non t'è uo' ch'aprirmi il tuo talento. ,Ma dimmi la cagion che non ti guardi,de lo scender qua giuso in questo centro,11,11,11
73,"de l'ampio loco ove tornar tu ardi"". ","""Da che tu vuo' saver cotanto a dentro,","dirotti brievemente"", mi rispuose,",11,11,11
74,"""perch'i' non temo di venir qua entro. ",Temer si dee di sole quelle cose,c'hanno potenza di fare altrui male;,11,11,11
75,"de l'altre no, chè non son paurose. ","I' son fatta da Dio, sua mercè, tale,","che la vostra miseria non mi tange,",11,11,11
76,nè fiamma d'esto 'ncendio non m'assale. ,Donna è gentil nel ciel che si compiange,"di questo 'mpedimento ov'io ti mando,",11,11,11
77,sì che duro giudicio là sù frange. ,Questa chiese Lucia in suo dimando,e disse: - Or ha bisogno il tuo fedele,11,11,11
78,"di te, e io a te lo raccomando -. ","Lucia, nimica di ciascun crudele,","si mosse, e venne al loco dov'i' era,",11,11,11
79,che mi sedea con l'antica Rachele. ,"Disse: - Beatrice, loda di Dio vera,","chè non soccorri quei che t'amò tanto,",11,11,11
80,ch'uscì per te de la volgare schiera? ,"Non odi tu la pieta del suo pianto,",non vedi tu la morte che 'l combatte,11,11,11
81,su la fiumana ove 'l mar non ha vanto? -. ,Al mondo non fur mai persone ratte,"a far lor pro o a fuggir lor danno,",11,11,11
82,"com'io, dopo cotai parole fatte, ","venni qua giù del mio beato scanno,","fidandomi del tuo parlare onesto,",11,11,11
83,"ch'onora te e quei ch'udito l' hanno"". ","Poscia che m'ebbe ragionato questo,","li occhi lucenti lagrimando volse,",11,11,11
84,per che mi fece del venir più presto. ,E venni a te così com'ella volse:,d'inanzi a quella fiera ti levai,11,11,11
85,che del bel monte il corto andar ti tolse. ,"Dunque: che è perchè, perchè restai,","perchè tanta viltà nel core allette,",11,11,11
86,"perchè ardire e franchezza non hai, ",poscia che tai tre donne benedette,"curan di te ne la corte del cielo,",11,11,11
87,"e 'l mio parlar tanto ben ti promette?"". ",Quali fioretti dal notturno gelo,"chinati e chiusi, poi che 'l sol li 'mbianca,",11,11,11
88,"si drizzan tutti aperti in loro stelo, ","tal mi fec'io di mia virtude stanca,","e tanto buono ardire al cor mi corse,",11,11,11
89,ch'i' cominciai come persona franca: ,"""Oh pietosa colei che mi soccorse!",e te cortese ch'ubidisti tosto,11,11,11
90,a le vere parole che ti porse! ,Tu m' hai con disiderio il cor disposto,"sì al venir con le parole tue,",11,11,11
91,ch'i' son tornato nel primo proposto. ,"Or va, ch'un sol volere è d'ambedue:","tu duca, tu segnore e tu maestro"".",11,11,11
92,"Così li dissi; e poi che mosso fue, ",intrai per lo cammino alto e silvestro.,"'Per me si va ne la città dolente,",11,11,11
93,"per me si va ne l'etterno dolore,",per me si va tra la perduta gente.,Giustizia mosse il mio alto fattore;,11,11,11
94,"fecemi la divina podestate,",la somma sapienza e 'l primo amore. ,Dinanzi a me non fuor cose create,11,11,11
95,"se non etterne, e io etterna duro.","Lasciate ogne speranza, voi ch'intrate'. ",Queste parole di colore oscuro,11,11,11
96,vid'io scritte al sommo d'una porta;,"per ch'io: ""Maestro, il senso lor m'è duro"". ","Ed elli a me, come persona accorta:",11,11,11
97,"""Qui si convien lasciare ogne sospetto;",ogne viltà convien che qui sia morta. ,Noi siam venuti al loco ov'i' t' ho detto,11,11,11
98,che tu vedrai le genti dolorose,"c'hanno perduto il ben de l'intelletto"". ",E poi che la sua mano a la mia puose,11,11,11
99,"con lieto volto, ond'io mi confortai,",mi mise dentro a le segrete cose. ,"Quivi sospiri, pianti e alti guai",11,11,11
100,"risonavan per l'aere sanza stelle,",per ch'io al cominciar ne lagrimai. ,"Diverse lingue, orribili favelle,",11,11,11
101,"parole di dolore, accenti d'ira,","voci alte e fioche, e suon di man con elle ","facevano un tumulto, il qual s'aggira",11,11,11
102,"sempre in quell'aura sanza tempo tinta,",come la rena quando turbo spira. ,"E io ch'avea d'error la testa cinta,",11,11,11
103,"dissi: ""Maestro, che è quel ch'i' odo?","e che gent'è che par nel duol sì vinta?"". ","Ed elli a me: ""Questo misero modo",11,11,11
104,tegnon l'anime triste di coloro,che visser sanza 'nfamia e sanza lodo. ,Mischiate sono a quel cattivo coro,11,11,11
105,de li angeli che non furon ribelli,"nè fur fedeli a Dio, ma per sè fuoro. ","Caccianli i ciel per non esser men belli,",11,11,11
106,"nè lo profondo inferno li riceve,","ch'alcuna gloria i rei avrebber d'elli"". ","E io: ""Maestro, che è tanto greve",11,11,11
107,"a lor che lamentar li fa sì forte?"".","Rispuose: ""Dicerolti molto breve. ","Questi non hanno speranza di morte,",11,11,11
108,"e la lor cieca vita è tanto bassa,",che 'nvidiosi son d'ogne altra sorte. ,Fama di loro il mondo esser non lassa;,11,11,11
109,misericordia e giustizia li sdegna:,"non ragioniam di lor, ma guarda e passa"". ","E io, che riguardai, vidi una 'nsegna",11,11,11
110,"che girando correva tanto ratta,",che d'ogne posa mi parea indegna; ,e dietro le venìa sì lunga tratta,11,11,11
111,"di gente, ch'i' non averei creduto",che morte tanta n'avesse disfatta. ,"Poscia ch'io v'ebbi alcun riconosciuto,",11,11,11
112,vidi e conobbi l'ombra di colui,che fece per viltade il gran rifiuto. ,Incontanente intesi e certo fui,11,11,11
113,"che questa era la setta d'i cattivi,",a Dio spiacenti e a' nemici sui. ,"Questi sciaurati, che mai non fur vivi,",11,11,11
114,erano ignudi e stimolati molto,da mosconi e da vespe ch'eran ivi. ,"Elle rigavan lor di sangue il volto,",11,11,11
115,"che, mischiato di lagrime, a' lor piedi",da fastidiosi vermi era ricolto. ,"E poi ch'a riguardar oltre mi diedi,",11,11,11
116,vidi genti a la riva d'un gran fiume;,"per ch'io dissi: ""Maestro, or mi concedi ","ch'i' sappia quali sono, e qual costume",11,11,11
117,"le fa di trapassar parer sì pronte,","com'i' discerno per lo fioco lume"". ","Ed elli a me: ""Le cose ti fier conte",11,11,11
118,quando noi fermerem li nostri passi,"su la trista riviera d'Acheronte"". ","Allor con li occhi vergognosi e bassi,",11,11,11
119,"temendo no 'l mio dir li fosse grave,",infino al fiume del parlar mi trassi. ,Ed ecco verso noi venir per nave,11,11,11
120,"un vecchio, bianco per antico pelo,","gridando: ""Guai a voi, anime prave! ",Non isperate mai veder lo cielo:,11,11,11
121,i' vegno per menarvi a l'altra riva,"ne le tenebre etterne, in caldo e 'n gelo. ","E tu che se' costì, anima viva,",11,11,11
122,"pàrtiti da cotesti che son morti"".","Ma poi che vide ch'io non mi partiva, ","disse: ""Per altra via, per altri porti",11,11,11
123,"verrai a piaggia, non qui, per passare:","più lieve legno convien che ti porti"". ","E 'l duca lui: ""Caron, non ti crucciare:",11,11,11
124,vuolsi così colà dove si puote,"ciò che si vuole, e più non dimandare"". ",Quinci fuor quete le lanose gote,11,11,11
125,"al nocchier de la livida palude,",che 'ntorno a li occhi avea di fiamme rote. ,"Ma quell'anime, ch'eran lasse e nude,",11,11,11
126,"cangiar colore e dibattero i denti,",ratto che 'nteser le parole crude. ,"Bestemmiavano Dio e lor parenti,",11,11,11
127,l'umana spezie e 'l loco e 'l tempo e 'l seme,di lor semenza e di lor nascimenti. ,"Poi si ritrasser tutte quante insieme,",11,11,11
128,"forte piangendo, a la riva malvagia",ch'attende ciascun uom che Dio non teme. ,"Caron dimonio, con occhi di bragia",11,11,11
129,"loro accennando, tutte le raccoglie;",batte col remo qualunque s'adagia. ,Come d'autunno si levan le foglie,11,11,11
130,"l'una appresso de l'altra, fin che 'l ramo","vede a la terra tutte le sue spoglie, ",similemente il mal seme d'Adamo,11,11,11
131,"gittansi di quel lito ad una ad una,",per cenni come augel per suo richiamo. ,"Così sen vanno su per l'onda bruna,",11,11,11
132,"e avanti che sien di là discese,",anche di qua nuova schiera s'auna. ,"""Figliuol mio"", disse 'l maestro cortese,",11,11,11
133,"""quelli che muoion ne l'ira di Dio",tutti convegnon qui d'ogne paese; ,"e pronti sono a trapassar lo rio,",11,11,11
134,"chè la divina giustizia li sprona,",sì che la tema si volve in disio. ,Quinci non passa mai anima buona;,11,11,11
135,"e però, se Caron di te si lagna,","ben puoi sapere omai che 'l suo dir suona"". ","Finito questo, la buia campagna",11,11,11
136,"tremò sì forte, che de lo spavento",la mente di sudore ancor mi bagna. ,"La terra lagrimosa diede vento,",11,11,11
137,che balenò una luce vermiglia,la qual mi vinse ciascun sentimento; ,e caddi come l'uom cui sonno piglia.,11,11,11
138,Ruppemi l'alto sonno ne la testa,"un greve truono, sì ch'io mi riscossi",come persona ch'è per forza desta;,11,11,11
139,"e l'occhio riposato intorno mossi,","dritto levato, e fiso riguardai",per conoscer lo loco dov'io fossi. ,11,11,11
140,Vero è che 'n su la proda mi trovai,de la valle d'abisso dolorosa,che 'ntrono accoglie d'infiniti guai. ,11,11,11
141,Oscura e profonda era e nebulosa,"tanto che, per ficcar lo viso a fondo,",io non vi discernea alcuna cosa. ,11,11,11
142,"""Or discendiam qua giù nel cieco mondo"",",cominciò il poeta tutto smorto.,"""Io sarò primo, e tu sarai secondo"". ",11,11,11
143,"E io, che del color mi fui accorto,","dissi: ""Come verrò, se tu paventi","che suoli al mio dubbiare esser conforto?"". ",11,11,11
144,"Ed elli a me: ""L'angoscia de le genti","che son qua giù, nel viso mi dipigne",quella pietà che tu per tema senti. ,11,11,11
145,"Andiam, chè la via lunga ne sospigne"".",Così si mise e così mi fè intrare,nel primo cerchio che l'abisso cigne. ,11,11,11
146,"Quivi, secondo che per ascoltare,",non avea pianto mai che di sospiri,che l'aura etterna facevan tremare; ,11,11,11
147,"ciò avvenia di duol sanza martìri,","ch'avean le turbe, ch'eran molte e grandi,",d'infanti e di femmine e di viri. ,11,11,11
148,"Lo buon maestro a me: ""Tu non dimandi",che spiriti son questi che tu vedi?,"Or vo' che sappi, innanzi che più andi, ",11,11,11
149,"ch'ei non peccaro; e s'elli hanno mercedi,","non basta, perchè non ebber battesmo,",ch'è porta de la fede che tu credi; ,11,11,11
150,"e s'e' furon dinanzi al cristianesmo,",non adorar debitamente a Dio:,e di questi cotai son io medesmo. ,11,11,11
151,"Per tai difetti, non per altro rio,","semo perduti, e sol di tanto offesi","che sanza speme vivemo in disio"". ",11,11,11
152,"Gran duol mi prese al cor quando lo 'ntesi,",però che gente di molto valore,conobbi che 'n quel limbo eran sospesi. ,11,11,11
153,"""Dimmi, maestro mio, dimmi, segnore"",",comincia' io per volere esser certo,di quella fede che vince ogne errore: ,11,11,11
154,"""uscicci mai alcuno, o per suo merto","o per altrui, che poi fosse beato?"".","E quei che 'ntese il mio parlar coverto, ",11,11,11
155,"rispuose: ""Io era nuovo in questo stato,","quando ci vidi venire un possente,",con segno di vittoria coronato. ,11,11,11
156,"Trasseci l'ombra del primo parente,","d'Abèl suo figlio e quella di Noè,",di Moisè legista e ubidente; ,11,11,11
157,"Abraàm patriarca e Davìd re,",Israèl con lo padre e co' suoi nati,"e con Rachele, per cui tanto fè, ",11,11,11
158,"e altri molti, e feceli beati.","E vo' che sappi che, dinanzi ad essi,","spiriti umani non eran salvati"". ",11,11,11
159,"Non lasciavam l'andar perch'ei dicessi,","ma passavam la selva tuttavia,","la selva, dico, di spiriti spessi. ",11,11,11
160,Non era lunga ancor la nostra via,"di qua dal sonno, quand'io vidi un foco",ch'emisperio di tenebre vincia. ,11,11,11
161,"Di lungi n'eravamo ancora un poco,",ma non sì ch'io non discernessi in parte,ch'orrevol gente possedea quel loco. ,11,11,11
162,"""O tu ch'onori scienzia e arte,","questi chi son c' hanno cotanta onranza,","che dal modo de li altri li diparte?"". ",11,11,11
163,"E quelli a me: ""L'onrata nominanza","che di lor suona sù ne la tua vita,","grazia acquista in ciel che sì li avanza"". ",11,11,11
164,Intanto voce fu per me udita:,"""Onorate l'altissimo poeta;","l'ombra sua torna, ch'era dipartita"". ",11,11,11
165,"Poi che la voce fu restata e queta,",vidi quattro grand'ombre a noi venire:,sembianz'avevan nè trista nè lieta. ,11,11,11
166,Lo buon maestro cominciò a dire:,"""Mira colui con quella spada in mano,",che vien dinanzi ai tre sì come sire: ,11,11,11
167,quelli è Omero poeta sovrano;,l'altro è Orazio satiro che vene;,"Ovidio è 'l terzo, e l'ultimo Lucano. ",11,11,11
168,Però che ciascun meco si convene,"nel nome che sonò la voce sola,","fannomi onore, e di ciò fanno bene"". ",11,11,11
169,Così vid'i' adunar la bella scola,di quel segnor de l'altissimo canto,che sovra li altri com'aquila vola. ,11,11,11
170,"Da ch'ebber ragionato insieme alquanto,","volsersi a me con salutevol cenno,",e 'l mio maestro sorrise di tanto; ,11,11,11
171,"e più d'onore ancora assai mi fenno,","ch'e' sì mi fecer de la loro schiera,",sì ch'io fui sesto tra cotanto senno. ,11,11,11
172,"Così andammo infino a la lumera,","parlando cose che 'l tacere è bello,",sì com'era 'l parlar colà dov'era. ,11,11,11
173,"Venimmo al piè d'un nobile castello,","sette volte cerchiato d'alte mura,",difeso intorno d'un bel fiumicello. ,11,11,11
174,Questo passammo come terra dura;,per sette porte intrai con questi savi:,giugnemmo in prato di fresca verdura. ,11,11,11
175,"Genti v'eran con occhi tardi e gravi,",di grande autorità ne' lor sembianti:,"parlavan rado, con voci soavi. ",11,11,11
176,"Traemmoci così da l'un de' canti,","in loco aperto, luminoso e alto,",sì che veder si potien tutti quanti. ,11,11,11
177,"Colà diritto, sovra 'l verde smalto,","mi fuor mostrati li spiriti magni,",che del vedere in me stesso m'essalto. ,11,11,11
178,"I' vidi Eletra con molti compagni,","tra ' quai conobbi Ettòr ed Enea,",Cesare armato con li occhi grifagni. ,11,11,11
179,Vidi Cammilla e la Pantasilea;,da l'altra parte vidi 'l re Latino,che con Lavina sua figlia sedea. ,11,11,11
180,"Vidi quel Bruto che cacciò Tarquino,","Lucrezia, Iulia, Marzia e Corniglia;","e solo, in parte, vidi 'l Saladino. ",11,11,11
181,"Poi ch'innalzai un poco più le ciglia,",vidi 'l maestro di color che sanno,seder tra filosofica famiglia. ,11,11,11
182,"Tutti lo miran, tutti onor li fanno:","quivi vid'io Socrate e Platone,",che 'nnanzi a li altri più presso li stanno; ,11,11,11
183,"Democrito che 'l mondo a caso pone,","Diogenès, Anassagora e Tale,","Empedoclès, Eraclito e Zenone; ",11,11,11
184,"e vidi il buono accoglitor del quale,","Diascoride dico; e vidi Orfeo,",Tulio e Lino e Seneca morale; ,11,11,11
185,"Euclide geomètra e Tolomeo,","Ipocràte, Avicenna e Galieno,",Averoìs che 'l gran comento feo. ,11,11,11
186,"Io non posso ritrar di tutti a pieno,","però che sì mi caccia il lungo tema,",che molte volte al fatto il dir vien meno. ,11,11,11
187,La sesta compagnia in due si scema:,"per altra via mi mena il savio duca,","fuor de la queta, ne l'aura che trema. ",11,11,11
188,E vegno in parte ove non è che luca.,Così discesi del cerchio primaio,"giù nel secondo, che men loco cinghia",11,11,11
189,"e tanto più dolor, che punge a guaio.","Stavvi Minòs orribilmente, e ringhia:",essamina le colpe ne l'intrata;,11,11,11
190,giudica e manda secondo ch'avvinghia. ,Dico che quando l'anima mal nata,"li vien dinanzi, tutta si confessa;",11,11,11
191,e quel conoscitor de le peccata ,vede qual loco d'inferno è da essa;,cignesi con la coda tante volte,11,11,11
192,quantunque gradi vuol che giù sia messa. ,Sempre dinanzi a lui ne stanno molte:,"vanno a vicenda ciascuna al giudizio,",11,11,11
193,dicono e odono e poi son giù volte. ,"""O tu che vieni al doloroso ospizio"",","disse Minòs a me quando mi vide,",11,11,11
194,"lasciando l'atto di cotanto offizio, ","""guarda com'entri e di cui tu ti fide;","non t'inganni l'ampiezza de l'intrare!"".",11,11,11
195,"E 'l duca mio a lui: ""Perchè pur gride? ",Non impedir lo suo fatale andare:,vuolsi così colà dove si puote,11,11,11
196,"ciò che si vuole, e più non dimandare"". ",Or incomincian le dolenti note,a farmisi sentire; or son venuto,11,11,11
197,là dove molto pianto mi percuote. ,"Io venni in loco d'ogne luce muto,","che mugghia come fa mar per tempesta,",11,11,11
198,se da contrari venti è combattuto. ,"La bufera infernal, che mai non resta,",mena li spirti con la sua rapina;,11,11,11
199,voltando e percotendo li molesta. ,"Quando giungon davanti a la ruina,","quivi le strida, il compianto, il lamento;",11,11,11
200,bestemmian quivi la virtù divina. ,Intesi ch'a così fatto tormento,"enno dannati i peccator carnali,",11,11,11
201,che la ragion sommettono al talento. ,E come li stornei ne portan l'ali,"nel freddo tempo, a schiera larga e piena,",11,11,11
202,così quel fiato li spiriti mali ,"di qua, di là, di giù, di sù li mena;","nulla speranza li conforta mai,",11,11,11
203,"non che di posa, ma di minor pena. ","E come i gru van cantando lor lai,","faccendo in aere di sè lunga riga,",11,11,11
204,"così vid'io venir, traendo guai, ",ombre portate da la detta briga;,"per ch'i' dissi: ""Maestro, chi son quelle",11,11,11
205,"genti che l'aura nera sì gastiga?"". ","""La prima di color di cui novelle","tu vuo' saper"", mi disse quelli allotta,",11,11,11
206,"""fu imperadrice di molte favelle. ","A vizio di lussuria fu sì rotta,","che libito fè licito in sua legge,",11,11,11
207,per tòrre il biasmo in che era condotta. ,"Ell'è Semiramìs, di cui si legge",che succedette a Nino e fu sua sposa:,11,11,11
208,tenne la terra che 'l Soldan corregge. ,"L'altra è colei che s'ancise amorosa,",e ruppe fede al cener di Sicheo;,11,11,11
209,poi è Cleopatràs lussuriosa. ,"Elena vedi, per cui tanto reo","tempo si volse, e vedi 'l grande Achille,",11,11,11
210,che con amore al fine combatteo. ,"Vedi Parìs, Tristano""; e più di mille","ombre mostrommi e nominommi a dito,",11,11,11
211,ch'amor di nostra vita dipartille. ,Poscia ch'io ebbi 'l mio dottore udito,"nomar le donne antiche e ' cavalieri,",11,11,11
212,"pietà mi giunse, e fui quasi smarrito. ","I' cominciai: ""Poeta, volontieri","parlerei a quei due che 'nsieme vanno,",11,11,11
213,"e paion sì al vento esser leggeri"". ","Ed elli a me: ""Vedrai quando saranno",più presso a noi; e tu allor li priega,11,11,11
214,"per quello amor che i mena, ed ei verranno"". ","Sì tosto come il vento a noi li piega,","mossi la voce: ""O anime affannate,",11,11,11
215,"venite a noi parlar, s'altri nol niega!"". ",Quali colombe dal disio chiamate,con l'ali alzate e ferme al dolce nido,11,11,11
216,"vegnon per l'aere, dal voler portate; ","cotali uscir de la schiera ov'è Dido,","a noi venendo per l'aere maligno,",11,11,11
217,sì forte fu l'affettuoso grido. ,"""O animal grazioso e benigno",che visitando vai per l'aere perso,11,11,11
218,"noi che tignemmo il mondo di sanguigno, ","se fosse amico il re de l'universo,","noi pregheremmo lui de la tua pace,",11,11,11
219,poi c' hai pietà del nostro mal perverso. ,"Di quel che udire e che parlar vi piace,","noi udiremo e parleremo a voi,",11,11,11
